date,GPP.daily,GPP.daily.sd,GPP.daily.grad,ER.daily,ER.daily.sd,ER.daily.grad,K600.daily,K600.daily.sd,K600.daily.grad,minimum,iterations,code,code.str,warnings,errors
2021-10-01,-0.5752109593546291,0.049183272213185074,-0.0018614161423347023,2.094835377049778,0.23778270462148274,-0.0012175207055875592,-1.840440895220373,0.2590364831996986,-9.463677637100423e-4,8.906570063870076,28,2,"successive iterates within tolerance, current iterate is probably solution",,
2021-10-02,0.41814317594179423,0.049323030382731343,3.013070326574049e-4,-1.0683578620820084,0.47454601902097454,2.3306271046408234e-4,0.3057585227491596,0.5509914761075698,1.7488609849181086e-4,-19.822092924645723,27,3,last global step failed to locate a point lower than estimate. Either estimate is an approximate local minimum of the function or steptol is too small,last global step failed to locate a point lower than estimate. Either estimate is an approximate local minimum of the function or steptol is too small,
2021-10-03,0.2962961745057242,0.018635500416927967,0.17366319305267536,-0.29867914314090804,0.1804770612950207,0.1059543732182532,-0.494721722035638,0.21433514964291303,0.0672504956114039,-92.20972904862809,30,3,last global step failed to locate a point lower than estimate. Either estimate is an approximate local minimum of the function or steptol is too small,last global step failed to locate a point lower than estimate. Either estimate is an approximate local minimum of the function or steptol is too small,
2021-10-04,0.4236257542915746,NA,-6.051825707231723e-7,-0.932349273960773,NA,-4.5830006456526425e-7,0.26358839400314743,NA,-5.398348434937357e-7,-7.696459077499785,25,1,"relative gradient is close to zero, current iterate is probably solution",NaNs produced,
2021-10-05,-0.03618972226746461,0.021945299609492246,-2.806770071659412,3.231903644438118,NA,-2.066204654639135,-2.3726086656386567,NA,-2.7458744350923303,-74.23347744310388,52,3,last global step failed to locate a point lower than estimate. Either estimate is an approximate local minimum of the function or steptol is too small,NaNs produced; last global step failed to locate a point lower than estimate. Either estimate is an approximate local minimum of the function or steptol is too small,
2021-10-06,0.6588113530070948,0.04291346794570133,2.021893763526348e-6,-8.473134363247064,0.6797315866194166,8.671285911532315e-7,5.9280654006350515,0.5015973860463202,1.0128893279670584e-6,-44.47479075332126,19,1,"relative gradient is close to zero, current iterate is probably solution",,
2021-10-07,0.5053457369334317,0.02711067701663824,0.0041628990121722565,-0.686403069863675,NA,0.002480535425064543,-0.04916202527298296,NA,0.0035819925798818955,-38.00464436296724,29,3,last global step failed to locate a point lower than estimate. Either estimate is an approximate local minimum of the function or steptol is too small,NaNs produced; last global step failed to locate a point lower than estimate. Either estimate is an approximate local minimum of the function or steptol is too small,
2021-10-08,-0.013440978172478042,0.09355050500233843,-2.9869440254515185e-8,-5.0080725354535165,0.7616007503422945,7.823075520718696e-9,4.837208724973609,0.6650766746309853,9.41824396250012e-9,51.08844636995547,20,1,"relative gradient is close to zero, current iterate is probably solution",,
2021-10-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NAs in DO.obs
2021-10-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NAs in DO.obs
