,source,Site,date,GPP_mean,GPP_se_mean,GPP_sd,GPP_2.5pct,GPP_25pct,GPP_50pct,GPP_75pct,GPP_97.5pct,GPP_n_eff,GPP_Rhat,ER_mean,ER_se_mean,ER_sd,ER_2.5pct,ER_25pct,ER_50pct,ER_75pct,ER_97.5pct,ER_n_eff,ER_Rhat,DO_R2_mean,DO_R2_se_mean,DO_R2_sd,DO_R2_2.5pct,DO_R2_25pct,DO_R2_50pct,DO_R2_75pct,DO_R2_97.5pct,DO_R2_n_eff,DO_R2_Rhat,GPP_daily_mean,GPP_daily_se_mean,GPP_daily_sd,GPP_daily_2.5pct,GPP_daily_25pct,GPP_daily_50pct,GPP_daily_75pct,GPP_daily_97.5pct,GPP_daily_n_eff,GPP_daily_Rhat,ER_daily_mean,ER_daily_se_mean,ER_daily_sd,ER_daily_2.5pct,ER_daily_25pct,ER_daily_50pct,ER_daily_75pct,ER_daily_97.5pct,ER_daily_n_eff,ER_daily_Rhat,K600_daily_mean,K600_daily_se_mean,K600_daily_sd,K600_daily_2.5pct,K600_daily_25pct,K600_daily_50pct,K600_daily_75pct,K600_daily_97.5pct,K600_daily_n_eff,K600_daily_Rhat,K600_daily_predlog_mean,K600_daily_predlog_se_mean,K600_daily_predlog_sd,K600_daily_predlog_2.5pct,K600_daily_predlog_25pct,K600_daily_predlog_50pct,K600_daily_predlog_75pct,K600_daily_predlog_97.5pct,K600_daily_predlog_n_eff,K600_daily_predlog_Rhat,valid_day,warnings,errors
11,NC_EllerbeClub_2021-02-16_2021-09-30_daily,ECNG,2/26/2021,0.564169208,0.007346251,0.279930831,0.020722721,0.373190536,0.565403738,0.75387656,1.136029059,1452.011313,1.003732946,-2.390839073,0.022972416,0.769610797,-3.875158065,-2.906786834,-2.403501863,-1.904732881,-0.842071253,1122.351643,1.003654869,0.923975699,0.00047387,0.014146505,0.893438784,0.915771437,0.9249216,0.933704915,0.948979064,891.2095714,1.00517444,0.564169208,0.007346251,0.279930831,0.020722721,0.373190536,0.565403738,0.75387656,1.136029059,1452.011313,1.003732946,-2.390839073,0.022972416,0.769610797,-3.875158065,-2.906786834,-2.403501863,-1.904732881,-0.842071253,1122.351643,1.003654869,11.05055096,0.06876761,2.46084177,6.373112349,9.353533437,11.02419018,12.65810284,16.05650049,1280.558767,1.001944772,2.322255927,0.001369521,0.067353273,2.190545211,2.276725434,2.321599002,2.367181039,2.45760289,2418.688495,0.999458221,TRUE,NA,NA
12,NC_EllerbeClub_2021-02-16_2021-09-30_daily,ECNG,2/27/2021,0.585280115,0.005918909,0.285329054,0.049721867,0.386825985,0.582119612,0.773992738,1.145949162,2323.853474,0.999485016,-3.613916755,0.020009647,0.801921285,-5.186671395,-4.152434531,-3.627974879,-3.061522042,-2.066013474,1606.144526,0.999535541,0.960594741,0.00024754,0.008085674,0.942176991,0.955443747,0.961542064,0.966446536,0.973807651,1066.947727,1.002365951,0.585280115,0.005918909,0.285329054,0.049721867,0.386825985,0.582119612,0.773992738,1.145949162,2323.853474,0.999485016,-3.613916755,0.020009647,0.801921285,-5.186671395,-4.152434531,-3.627974879,-3.061522042,-2.066013474,1606.144526,0.999535541,13.73340738,0.069557219,2.920560858,8.069038498,11.75746393,13.75543943,15.72784018,19.32977501,1762.982898,0.999420665,2.444238057,0.001089323,0.053103776,2.338018471,2.408485814,2.446152431,2.479196799,2.545440543,2376.498543,0.999593673,TRUE,NA,NA
13,NC_EllerbeClub_2021-02-16_2021-09-30_daily,ECNG,2/28/2021,0.826095942,0.006368875,0.27605353,0.258596365,0.644468522,0.836621697,1.013357027,1.349272031,1878.716005,1.000059276,-3.168613797,0.015726467,0.661162728,-4.44556931,-3.634306235,-3.179908483,-2.708750454,-1.891317563,1767.479482,0.999643087,0.971363812,0.00017805,0.005320443,0.959770886,0.968079709,0.971718841,0.975071733,0.980835954,892.9184119,1.00094544,0.826095942,0.006368875,0.27605353,0.258596365,0.644468522,0.836621697,1.013357027,1.349272031,1878.716005,1.000059276,-3.168613797,0.015726467,0.661162728,-4.44556931,-3.634306235,-3.179908483,-2.708750454,-1.891317563,1767.479482,0.999643087,11.22739924,0.055451166,2.325549508,6.799288504,9.682220923,11.13600274,12.80953072,15.83659418,1758.854085,0.999951081,2.469029042,0.001174482,0.05302585,2.365812039,2.432326852,2.468890126,2.505319945,2.571384208,2038.368229,1.000346312,TRUE,NA,NA
14,NC_EllerbeClub_2021-02-16_2021-09-30_daily,ECNG,3/1/2021,0.718176882,0.005368549,0.259876496,0.20748729,0.54878123,0.719244765,0.885214479,1.254658414,2343.257884,1.00029519,-5.230560073,0.024657381,1.040912556,-7.221694677,-5.961232865,-5.220160335,-4.511520547,-3.154899076,1782.110429,1.002023992,0.78399031,0.001166812,0.038180059,0.701784757,0.759204557,0.786465772,0.811058854,0.852662545,1070.709171,1.000967694,0.718176882,0.005368549,0.259876496,0.20748729,0.54878123,0.719244765,0.885214479,1.254658414,2343.257884,1.00029519,-5.230560073,0.024657381,1.040912556,-7.221694677,-5.961232865,-5.220160335,-4.511520547,-3.154899076,1782.110429,1.002023992,13.87616661,0.060931066,2.714656498,8.491319212,12.03929473,13.81710265,15.68461883,19.11907983,1984.962071,1.00323295,2.461969355,0.001189767,0.051569121,2.363914878,2.426152264,2.46258501,2.497405494,2.561584486,1878.691521,1.001722336,TRUE,NA,NA
15,NC_EllerbeClub_2021-02-16_2021-09-30_daily,ECNG,3/2/2021,0.771026077,0.004836901,0.258035691,0.262299935,0.597958587,0.777403552,0.947101836,1.281456704,2845.936348,0.999310067,-2.317989013,0.013687032,0.620949019,-3.509668822,-2.748751097,-2.308172915,-1.901740393,-1.117779834,2058.227316,0.999940798,0.963786216,0.000219633,0.006264669,0.950231459,0.959805786,0.964346523,0.968197376,0.974764844,813.582592,1.005324054,0.771026077,0.004836901,0.258035691,0.262299935,0.597958587,0.777403552,0.947101836,1.281456704,2845.936348,0.999310067,-2.317989013,0.013687032,0.620949019,-3.509668822,-2.748751097,-2.308172915,-1.901740393,-1.117779834,2058.227316,0.999940798,8.34956582,0.042723419,1.928196913,4.71709177,7.037029053,8.300566612,9.637209876,12.23715426,2036.904916,0.999927764,2.413132212,0.001223291,0.062174062,2.292116235,2.369562677,2.415254542,2.45484431,2.532982403,2583.207314,0.999607302,TRUE,NA,NA
16,NC_EllerbeClub_2021-02-16_2021-09-30_daily,ECNG,3/3/2021,0.583371756,0.005482761,0.265373672,0.049985876,0.406382657,0.584192068,0.759401275,1.089959871,2342.701761,0.99943146,-2.224693574,0.015768488,0.634005408,-3.472315355,-2.645015997,-2.218494113,-1.80922267,-0.994764038,1616.612167,1.000921167,0.899170662,0.000536185,0.017093813,0.861647552,0.8885489,0.900674167,0.911268232,0.9287199,1016.364121,0.999790936,0.583371756,0.005482761,0.265373672,0.049985876,0.406382657,0.584192068,0.759401275,1.089959871,2342.701761,0.99943146,-2.224693574,0.015768488,0.634005408,-3.472315355,-2.645015997,-2.218494113,-1.80922267,-0.994764038,1616.612167,1.000921167,8.789529954,0.05568609,2.196552169,4.719454515,7.288414241,8.702088203,10.26947634,13.10233493,1555.928337,1.000308272,2.364733001,0.00113935,0.05196008,2.265987714,2.328439575,2.36618062,2.3996161,2.464954725,2079.817491,1.000664867,TRUE,NA,NA
17,NC_EllerbeClub_2021-02-16_2021-09-30_daily,ECNG,3/4/2021,0.583017074,0.005064019,0.260433485,0.091019009,0.403534033,0.585097453,0.758615242,1.089735664,2644.861691,1.000641565,-1.900460147,0.013842219,0.590945774,-3.051203941,-2.311192576,-1.900646387,-1.482584297,-0.726319274,1822.568381,1.001310997,0.895465775,0.000623021,0.018337756,0.852951324,0.884595196,0.897095032,0.9083754,0.925916416,866.3381058,1.001847707,0.583017074,0.005064019,0.260433485,0.091019009,0.403534033,0.585097453,0.758615242,1.089735664,2644.861691,1.000641565,-1.900460147,0.013842219,0.590945774,-3.051203941,-2.311192576,-1.900646387,-1.482584297,-0.726319274,1822.568381,1.001310997,7.705659958,0.045636958,2.096315959,3.722182811,6.263962944,7.735393461,9.156273592,11.61171726,2109.988549,1.00186667,2.324195823,0.001051782,0.048289782,2.228113098,2.291363874,2.324832557,2.357547924,2.415930456,2107.944248,1.00008631,TRUE,NA,NA
18,NC_EllerbeClub_2021-02-16_2021-09-30_daily,ECNG,3/5/2021,0.753761153,0.005064838,0.253695709,0.267475597,0.582218985,0.753000662,0.927902778,1.242159956,2508.967529,0.999543766,-0.929400591,0.009473642,0.453216495,-1.802426173,-1.247231466,-0.938380023,-0.616414119,-0.059071446,2288.639907,0.999521886,0.980367507,0.000100796,0.003242295,0.973155943,0.978360907,0.980606962,0.982550234,0.986197983,1034.716618,1.00241781,0.753761153,0.005064838,0.253695709,0.267475597,0.582218985,0.753000662,0.927902778,1.242159956,2508.967529,0.999543766,-0.929400591,0.009473642,0.453216495,-1.802426173,-1.247231466,-0.938380023,-0.616414119,-0.059071446,2288.639907,0.999521886,5.341450449,0.035626257,1.639272062,1.970944903,4.217964491,5.386711111,6.403484732,8.759109587,2117.199,0.999067661,2.284617808,0.001089875,0.056415258,2.171093008,2.247938854,2.285062782,2.322467123,2.395184352,2679.414482,0.999322848,TRUE,NA,NA
19,NC_EllerbeClub_2021-02-16_2021-09-30_daily,ECNG,3/6/2021,0.563081848,0.004976323,0.251215786,0.048941374,0.391748571,0.56841668,0.73489828,1.045748209,2548.453825,0.999545451,-0.523854295,0.007710911,0.397584902,-1.287274916,-0.800248935,-0.529824657,-0.259325213,0.247161208,2658.572015,0.999885011,0.944393139,0.000308538,0.009242411,0.924306237,0.938356914,0.945041931,0.951199733,0.960101098,897.3345736,0.999108341,0.563081848,0.004976323,0.251215786,0.048941374,0.391748571,0.56841668,0.73489828,1.045748209,2548.453825,0.999545451,-0.523854295,0.007710911,0.397584902,-1.287274916,-0.800248935,-0.529824657,-0.259325213,0.247161208,2658.572015,0.999885011,6.217035236,0.040154127,1.950386301,2.406000846,4.955858527,6.212889249,7.498564912,10.03179247,2359.287626,1.000075945,2.230591699,0.001001962,0.048065795,2.134542334,2.198154446,2.230242014,2.263244174,2.322993269,2301.283431,0.999218166,TRUE,NA,NA
20,NC_EllerbeClub_2021-02-16_2021-09-30_daily,ECNG,3/7/2021,0.488644014,0.005136336,0.248531411,-0.007216454,0.325804802,0.484072968,0.658734618,0.956761424,2341.293129,0.999435061,-0.471429103,0.008189492,0.393703881,-1.202641584,-0.72983659,-0.47382056,-0.217795198,0.320325358,2311.136063,0.998671402,0.945801178,0.000308217,0.009140089,0.926913639,0.939984206,0.94631326,0.952392925,0.961956657,879.4029108,1.003958757,0.488644014,0.005136336,0.248531411,-0.007216454,0.325804802,0.484072968,0.658734618,0.956761424,2341.293129,0.999435061,-0.471429103,0.008189492,0.393703881,-1.202641584,-0.72983659,-0.47382056,-0.217795198,0.320325358,2311.136063,0.998671402,5.745968915,0.042823345,1.989543452,1.976095692,4.335085254,5.704242123,7.117676968,9.698858705,2158.468312,0.99948636,2.209872104,0.000994061,0.052003299,2.109795371,2.175205393,2.209936558,2.245031392,2.310178471,2736.753594,0.999023233,TRUE,NA,NA
21,NC_EllerbeClub_2021-02-16_2021-09-30_daily,ECNG,3/8/2021,0.370673708,0.005032119,0.24563732,-0.108566875,0.20811696,0.37186035,0.53401926,0.842519441,2382.796365,1.001830287,-0.427233325,0.007449055,0.404998671,-1.19858217,-0.704610571,-0.422080807,-0.166245703,0.384605528,2956.003077,0.999853596,0.887207821,0.000695126,0.018557954,0.84787219,0.874926441,0.888482868,0.900220263,0.91929565,712.7425567,1.010171188,0.370673708,0.005032119,0.24563732,-0.108566875,0.20811696,0.37186035,0.53401926,0.842519441,2382.796365,1.001830287,-0.427233325,0.007449055,0.404998671,-1.19858217,-0.704610571,-0.422080807,-0.166245703,0.384605528,2956.003077,0.999853596,5.569468636,0.044765866,2.005311092,1.893456214,4.175372059,5.501357535,6.962475984,9.550418751,2006.640276,1.000203618,2.210529398,0.000894372,0.044441405,2.122699058,2.182049251,2.211217826,2.241175133,2.296687649,2469.101431,0.999080535,TRUE,NA,NA
22,NC_EllerbeClub_2021-02-16_2021-09-30_daily,ECNG,3/9/2021,0.447747408,0.005122246,0.245867374,-0.031764864,0.283861984,0.445458746,0.617177108,0.924274489,2303.991548,0.998166513,-0.443138816,0.008556112,0.405375839,-1.199206787,-0.722863727,-0.4476446,-0.168561676,0.337779649,2244.723328,0.999326137,0.913004576,0.000468646,0.014031811,0.881577965,0.904496096,0.913825643,0.922910407,0.937419351,896.4741076,1.003183589,0.447747408,0.005122246,0.245867374,-0.031764864,0.283861984,0.445458746,0.617177108,0.924274489,2303.991548,0.998166513,-0.443138816,0.008556112,0.405375839,-1.199206787,-0.722863727,-0.4476446,-0.168561676,0.337779649,2244.723328,0.999326137,4.375411705,0.048113113,1.90896446,0.73755684,3.034446678,4.35016791,5.649793903,8.224111715,1574.232157,1.001136944,2.210995949,0.000864565,0.042535654,2.126212273,2.183595873,2.211067282,2.238846749,2.295184188,2420.532942,0.999107639,TRUE,NA,NA
23,NC_EllerbeClub_2021-02-16_2021-09-30_daily,ECNG,3/10/2021,0.333350818,0.005449768,0.253564117,-0.183817566,0.171269741,0.340946402,0.507387567,0.815184399,2164.809239,1.000755292,-0.381991558,0.008587476,0.41275872,-1.219569213,-0.669438704,-0.360775102,-0.108149125,0.403627749,2310.262987,1.000090746,0.773253407,0.001219247,0.037012195,0.694532328,0.749524175,0.775129384,0.79869845,0.839630668,921.5226311,1.003883555,0.333350818,0.005449768,0.253564117,-0.183817566,0.171269741,0.340946402,0.507387567,0.815184399,2164.809239,1.000755292,-0.381991558,0.008587476,0.41275872,-1.219569213,-0.669438704,-0.360775102,-0.108149125,0.403627749,2310.262987,1.000090746,6.474760108,0.04528131,2.171217247,2.312922503,4.869568762,6.486522346,7.940627513,10.7953037,2299.156779,0.998281032,2.211597221,0.000889982,0.045017537,2.121249361,2.182195434,2.211691493,2.240063918,2.300185329,2558.589719,0.99909908,TRUE,NA,NA
24,NC_EllerbeClub_2021-02-16_2021-09-30_daily,ECNG,3/11/2021,0.403075156,0.005062239,0.256565925,-0.101283557,0.227549714,0.400814169,0.575293766,0.914394744,2568.695846,0.998512537,-0.655497292,0.008855345,0.422228112,-1.481816581,-0.940510499,-0.652953844,-0.378812485,0.142780688,2273.439014,1.000463503,0.830014906,0.001005893,0.028455415,0.764816513,0.811373119,0.832005415,0.850560257,0.879242882,800.2504037,1.00048089,0.403075156,0.005062239,0.256565925,-0.101283557,0.227549714,0.400814169,0.575293766,0.914394744,2568.695846,0.998512537,-0.655497292,0.008855345,0.422228112,-1.481816581,-0.940510499,-0.652953844,-0.378812485,0.142780688,2273.439014,1.000463503,6.602854395,0.068103911,2.225234327,2.067455882,5.061841466,6.617330419,8.138218523,10.82741026,1067.597126,1.000773312,2.211444796,0.000877149,0.043881386,2.123442834,2.183113128,2.212055917,2.239844957,2.299353362,2502.727702,0.999105692,TRUE,NA,NA
25,NC_EllerbeClub_2021-02-16_2021-09-30_daily,ECNG,3/12/2021,0.607933405,0.005385668,0.261723239,0.10749491,0.426367797,0.606054643,0.78375121,1.155034356,2361.594973,0.998342211,-0.835703114,0.009130749,0.425181411,-1.657665226,-1.117516712,-0.842024112,-0.54661074,-0.009232482,2168.381725,1.000292149,0.938908858,0.000327159,0.010299514,0.917408532,0.932431402,0.93923768,0.946106387,0.957575396,991.0957982,1.000838778,0.607933405,0.005385668,0.261723239,0.10749491,0.426367797,0.606054643,0.78375121,1.155034356,2361.594973,0.998342211,-0.835703114,0.009130749,0.425181411,-1.657665226,-1.117516712,-0.842024112,-0.54661074,-0.009232482,2168.381725,1.000292149,5.206214521,0.067227202,1.928653835,1.519708637,3.833075309,5.217834717,6.530329426,8.965188334,823.035359,1.003127301,2.211282486,0.000868178,0.043038448,2.123717391,2.183242307,2.212707794,2.239335426,2.298014914,2457.509199,0.999109723,TRUE,NA,NA
