site,year,GPP_neg,ER_pos,K_median,K_sd,no_dat_num,no_dat_dates
NC_NHC,2016,16,13,6.359584679816018,6879.740067363066,85,2016-11-22 2016-11-23 2016-11-24 2016-11-25 2016-11-26 2016-11-27 2016-11-28 2016-11-29 2016-11-30 2016-12-01 2016-12-02 2016-12-03 2016-12-04 2016-12-05 2016-12-06 2016-12-07 2016-12-08 2016-12-10 2016-12-11 2016-12-12 2016-12-13 2016-12-14 2016-12-15 2016-12-16 2016-12-17 2016-12-18 2016-12-19 2016-12-20 2016-12-21 2016-12-22 2016-12-23 2016-12-24 2016-12-25 2016-12-26 2016-12-27 2016-12-28 2017-01-04 2017-01-12 2017-02-23 2017-02-24 2017-02-25 2017-02-26 2017-02-27 2017-02-28 2017-05-16 2017-05-17 2017-05-18 2017-05-19 2017-05-20 2017-05-21 2017-05-22 2017-05-23 2017-05-24 2017-05-25 2017-05-26 2017-05-27 2017-05-28 2017-05-29 2017-05-30 2017-06-15 2017-06-16 2017-06-21 2017-06-22 2017-06-23 2017-06-24 2017-06-25 2017-06-26 2017-06-27 2017-08-01 2017-08-02 2017-08-03 2017-08-04 2017-08-05 2017-08-06 2017-08-07 2017-08-08 2017-08-09 2017-08-17 2017-08-18 2017-09-22 2017-09-23 2017-09-24 2017-09-25 2017-09-26 2017-09-30
NC_NHC,2017,36,42,7.519209439209296,5813.563190436888,56,2018-03-05 2018-03-06 2018-03-07 2018-03-08 2018-03-09 2018-04-30 2018-05-01 2018-05-02 2018-05-03 2018-05-04 2018-05-05 2018-05-06 2018-05-07 2018-05-08 2018-05-09 2018-05-10 2018-05-11 2018-05-12 2018-05-13 2018-05-14 2018-05-15 2018-05-16 2018-05-24 2018-08-29 2018-08-30 2018-08-31 2018-09-01 2018-09-02 2018-09-03 2018-09-04 2018-09-05 2018-09-06 2018-09-07 2018-09-08 2018-09-09 2018-09-10 2018-09-11 2018-09-12 2018-09-13 2018-09-14 2018-09-15 2018-09-16 2018-09-17 2018-09-18 2018-09-19 2018-09-20 2018-09-21 2018-09-22 2018-09-23 2018-09-24 2018-09-25 2018-09-26 2018-09-27 2018-09-28 2018-09-29 2018-09-30
NC_NHC,2018,9,1,12.017907668571018,2679.2466817671375,151,2018-10-01 2018-10-02 2018-10-03 2018-10-04 2018-10-05 2018-10-06 2018-10-07 2018-10-08 2018-10-09 2018-10-10 2018-10-11 2018-10-12 2018-10-13 2018-10-14 2018-10-15 2018-10-16 2018-10-17 2018-10-18 2018-10-19 2018-10-20 2018-10-21 2018-10-22 2018-10-23 2018-10-24 2018-10-25 2018-10-26 2018-10-27 2018-10-28 2018-10-29 2018-10-30 2018-10-31 2018-11-01 2018-11-02 2018-11-03 2018-11-04 2018-11-05 2018-11-06 2018-11-07 2018-11-08 2018-11-09 2018-11-10 2018-11-11 2018-11-12 2018-11-13 2018-11-14 2018-11-15 2018-11-16 2018-11-17 2018-11-18 2018-11-19 2018-11-20 2018-12-19 2018-12-20 2018-12-21 2018-12-22 2018-12-23 2018-12-24 2018-12-25 2018-12-26 2018-12-27 2018-12-28 2018-12-29 2018-12-30 2018-12-31 2019-01-01 2019-01-02 2019-01-03 2019-01-04 2019-01-05 2019-01-06 2019-01-07 2019-03-01 2019-03-02 2019-03-03 2019-03-04 2019-03-20 2019-03-21 2019-03-22 2019-04-08 2019-04-09 2019-04-12 2019-04-13 2019-04-14 2019-04-26 2019-04-27 2019-05-05 2019-05-06 2019-05-07 2019-05-08 2019-06-07 2019-06-08 2019-06-09 2019-06-15 2019-06-18 2019-06-19 2019-06-20 2019-06-25 2019-06-28 2019-06-29 2019-07-17 2019-07-23 2019-08-06 2019-08-07 2019-08-13 2019-08-14 2019-08-15 2019-08-16 2019-08-17 2019-08-18 2019-08-20 2019-08-21 2019-08-22 2019-08-23 2019-08-24 2019-08-25 2019-08-26 2019-08-27 2019-08-28 2019-08-29 2019-08-30 2019-08-31 2019-09-01 2019-09-02 2019-09-03 2019-09-04 2019-09-05 2019-09-06 2019-09-07 2019-09-08 2019-09-09 2019-09-10 2019-09-11 2019-09-12 2019-09-13 2019-09-14 2019-09-15 2019-09-16 2019-09-17 2019-09-18 2019-09-19 2019-09-20 2019-09-21 2019-09-22 2019-09-23 2019-09-24 2019-09-25 2019-09-26 2019-09-27 2019-09-28 2019-09-29 2019-09-30
NC_NHC,2019,5,21,8.81296942383655,382.7563274650657,136,2019-10-01 2019-10-02 2019-10-04 2019-10-05 2019-10-19 2019-10-20 2019-10-21 2019-11-12 2019-11-13 2019-11-14 2019-11-15 2019-12-03 2019-12-04 2020-01-24 2020-01-25 2020-02-06 2020-02-07 2020-02-27 2020-04-18 2020-05-31 2020-06-01 2020-06-02 2020-06-03 2020-06-04 2020-06-05 2020-06-06 2020-06-07 2020-06-08 2020-06-09 2020-06-10 2020-06-11 2020-06-12 2020-06-13 2020-06-14 2020-06-15 2020-06-16 2020-06-17 2020-06-18 2020-06-19 2020-06-20 2020-06-21 2020-06-22 2020-06-23 2020-06-24 2020-06-25 2020-06-26 2020-06-27 2020-06-28 2020-06-29 2020-06-30 2020-07-01 2020-07-02 2020-07-03 2020-07-04 2020-07-05 2020-07-06 2020-07-07 2020-07-08 2020-07-09 2020-07-10 2020-07-11 2020-07-12 2020-07-13 2020-07-14 2020-07-15 2020-07-16 2020-07-17 2020-07-18 2020-07-19 2020-07-20 2020-07-21 2020-07-22 2020-07-23 2020-07-24 2020-07-25 2020-07-26 2020-07-27 2020-07-28 2020-07-29 2020-07-30 2020-07-31 2020-08-01 2020-08-02 2020-08-03 2020-08-04 2020-08-05 2020-08-06 2020-08-07 2020-08-08 2020-08-09 2020-08-10 2020-08-11 2020-08-12 2020-08-13 2020-08-14 2020-08-15 2020-08-16 2020-08-17 2020-08-18 2020-08-19 2020-08-20 2020-08-21 2020-08-22 2020-08-23 2020-08-24 2020-08-25 2020-08-26 2020-08-27 2020-08-28 2020-08-29 2020-08-30 2020-08-31 2020-09-01 2020-09-02 2020-09-03 2020-09-04 2020-09-05 2020-09-06 2020-09-07 2020-09-08 2020-09-09 2020-09-10 2020-09-11 2020-09-12 2020-09-13 2020-09-14 2020-09-15 2020-09-16 2020-09-17 2020-09-18 2020-09-19 2020-09-20 2020-09-21 2020-09-22 2020-09-29 2020-09-30
NC_NHC,2020,8,11,11.917140197895925,138.11665583901993,102,2020-10-13 2020-10-14 2020-10-15 2020-10-16 2020-10-17 2020-10-18 2020-10-19 2020-10-20 2020-10-21 2020-10-22 2020-10-23 2020-10-24 2020-10-25 2020-10-26 2020-10-27 2020-11-17 2020-11-18 2020-11-19 2020-11-20 2020-11-21 2020-11-22 2020-11-23 2020-11-24 2020-11-25 2021-02-24 2021-02-25 2021-02-26 2021-02-27 2021-02-28 2021-03-01 2021-03-02 2021-03-03 2021-03-04 2021-03-05 2021-03-09 2021-03-10 2021-06-15 2021-06-16 2021-06-17 2021-06-18 2021-06-19 2021-06-20 2021-06-21 2021-06-22 2021-06-23 2021-06-24 2021-06-25 2021-06-26 2021-06-27 2021-06-28 2021-06-29 2021-06-30 2021-07-01 2021-07-13 2021-07-14 2021-07-15 2021-07-16 2021-07-17 2021-07-18 2021-07-19 2021-07-20 2021-07-27 2021-07-28 2021-07-29 2021-07-30 2021-07-31 2021-08-01 2021-08-02 2021-08-03 2021-08-04 2021-08-05 2021-08-06 2021-08-07 2021-08-08 2021-08-09 2021-08-10 2021-08-24 2021-08-25 2021-08-26 2021-08-27 2021-08-28 2021-08-29 2021-08-30 2021-08-31 2021-09-01 2021-09-02 2021-09-03 2021-09-04 2021-09-05 2021-09-06 2021-09-07 2021-09-08 2021-09-09 2021-09-10 2021-09-11 2021-09-12 2021-09-13 2021-09-14 2021-09-15 2021-09-16 2021-09-17 2021-09-30
NC_NHC,2021,25,35,7.800972990205776,339.2345403999199,128,2021-10-09 2021-10-10 2021-10-11 2021-10-12 2021-11-05 2021-11-06 2021-11-07 2021-11-08 2021-11-09 2021-11-10 2021-11-11 2021-11-12 2021-11-13 2021-11-14 2021-11-15 2021-11-16 2021-11-17 2021-11-18 2021-11-19 2021-11-20 2021-11-21 2021-11-22 2021-11-23 2021-11-24 2021-11-25 2021-11-26 2021-11-27 2021-11-28 2021-11-29 2021-11-30 2021-12-01 2021-12-02 2021-12-03 2021-12-04 2021-12-05 2021-12-06 2021-12-07 2021-12-08 2021-12-09 2021-12-10 2022-02-25 2022-02-26 2022-02-27 2022-02-28 2022-03-01 2022-03-02 2022-03-03 2022-03-04 2022-03-05 2022-03-06 2022-03-07 2022-03-08 2022-03-09 2022-03-10 2022-03-11 2022-04-15 2022-04-16 2022-04-17 2022-04-18 2022-04-19 2022-04-20 2022-04-21 2022-04-22 2022-04-23 2022-04-24 2022-04-25 2022-04-26 2022-04-27 2022-04-28 2022-04-29 2022-05-12 2022-05-13 2022-05-14 2022-05-15 2022-05-16 2022-05-17 2022-05-18 2022-05-19 2022-05-20 2022-05-21 2022-05-22 2022-05-23 2022-05-24 2022-05-25 2022-05-26 2022-05-27 2022-05-28 2022-05-29 2022-05-30 2022-05-31 2022-06-01 2022-06-02 2022-06-03 2022-06-04 2022-06-05 2022-06-06 2022-06-07 2022-06-08 2022-06-09 2022-06-10 2022-06-11 2022-06-12 2022-06-13 2022-06-14 2022-06-15 2022-06-16 2022-06-17 2022-07-09 2022-07-30 2022-07-31 2022-08-08 2022-08-09 2022-08-10 2022-08-11 2022-08-12 2022-08-13 2022-08-14 2022-08-15 2022-08-16 2022-08-17 2022-08-18 2022-08-19 2022-08-20 2022-08-21 2022-08-22 2022-08-23 2022-08-24 2022-09-30
