"","site","date","NH4-N_mg/L","PO4-P_mg/L","DOC_mg/L","TDN_mg/L","DIN_N mg/L","DON_N mg/L","Cl_mg/L","SO4_mg/L","Br_mg/L","NO3-N_mg/L","Na_mg/L","K_mg/L","Mg_mg/L","Ca_mg/L"
"162","ecng",2022-12-02,0.005,0.0523,6.979,0.483,0.205,0.278,7.81,8.74,0.1,0.2,7.22,2.65,3.73,13.95
"163","nhc",2022-12-16,0.0105,0.0195,11.7,0.5188,0.1905,0.3283,5.52,4.65,0.11,0.18,3.73,1.72,2.43,6.94
"164","ecng",2022-12-16,0.0601,0.0793,10.79,0.8339,0.4241,0.4098,6.53,7.65,0.14,0.364,5.66,2.47,2.76,11.45
"165","ecgs",2022-12-20,0.0287,0.0338,7.88,1.078,0.6107,0.4673,32.98,37.6,0.18,0.582,39.02,10.42,5.52,20.9
"166","nhc",2023-01-06,0.005,0.005,4.135,0.2369,0.128,0.1089,9.68,7.02,0.07,0.123,6.28,1.2,3.56,10.75
"167","ecgs",2023-01-09,0.0296,0.0361,7.76,1.235,0.7956,0.4394,33.08,40.85,0.18,0.766,38.57,9.58,6.19,23.86
"168","ecng",2023-01-09,0.137,0.0283,7.411,0.6437,0.365,0.2787,13.64,12.83,0.13,0.228,11.41,2.32,5.3,17.21
"169","ecng",2023-01-22,0.0302,0.0795,8.912,0.7501,0.3082,0.4419,6.12,6.76,0.11,0.278,5.75,2.22,2.7,11.16
"170","nhc",2023-01-23,0.005,0.005,5.456,0.3384,0.189,0.1494,8.85,6.6,0.09,0.184,6.12,1.2,3.19,10.42
"171","ecgs",2023-01-23,0.0315,0.0541,8.351,0.9711,0.6065,0.3646,13.09,14.24,0.13,0.575,15.16,4.53,3.4,14.11
"172","nhc",2023-02-06,0.005,0.005,3.771,0.2395,0.149,0.0905,8.81,7.02,0.07,0.144,6.09,0.93,3.6,10.84
"173","ecgs",2023-02-06,0.0192,0.025,7.29,0.8113,0.3622,0.4491,32.96,35.52,0.2,0.343,37.74,9.37,5.94,22.51
"174","ecng",2023-02-06,0.005,0.0233,6.678,0.4168,0.191,0.2258,12.42,12.99,0.15,0.186,10.88,1.91,5.94,19.86
"175","nhc",2023-02-20,0.005,0.005,3.434,0.1643,0.083,0.0813,8.58,6.52,0.06,0.078,6.1,0.92,3.86,11.49
"176","ecgs",2023-02-20,0.0173,0.0349,8.018,0.7181,0.1613,0.5568,31.7,34.78,0.1,0.144,39.22,9.25,5.89,20.76
"177","ecng",2023-02-20,0.005,0.0172,7.791,0.3852,0.146,0.2392,10.3,9.44,0.14,0.141,9.17,1.7,5.01,16.53
"178","nhc",2023-03-06,0.005,0.005,4.057,0.1841,0.093,0.0911,8.48,5.81,0.07,0.088,6.22,0.97,3.53,10.58
"179","ecgs",2023-03-06,0.0271,0.0318,8.27,0.7032,0.1951,0.5081,31.66,33.64,0.21,0.168,39.59,8.77,5.5,21.72
"180","ecng",2023-03-06,0.0267,0.0269,8.163,0.4857,0.1727,0.313,11.24,10.29,0.14,0.146,10.15,2.24,5.71,20.19
"181","nhc",2023-03-20,0.005,0.005,4.827,0.2142,0.095,0.1192,8.08,5.61,0.08,0.09,6.06,0.86,3.35,10.14
"182","ecgs",2023-03-20,0.0117,0.0253,8.695,0.9369,0.3097,0.6272,32.65,37.6,0.15,0.298,39.82,9.63,5.34,21
"183","ecng",2023-03-20,0.005,0.0269,6.619,0.3924,0.114,0.2784,9.46,12.94,0.12,0.109,10.45,1.98,4.78,17.9
