"","site","Date_UTC","Discharge_Daily_Ave"
"121","ecgs",2021-07-30,0.467227528479642
"122","ecgs",2021-07-31,0.445989913548749
"123","ecgs",2021-08-01,0.416257252645499
"124","ecgs",2021-08-02,0.428433485205878
"125","ecgs",2021-08-03,0.41200972965932
"126","ecgs",2021-08-04,0.423336457622463
"127","ecgs",2021-08-05,0.464395846488856
"128","ecgs",2021-08-06,0.475722574451999
"129","ecgs",2021-08-07,9.98167901751961
"130","ecgs",2021-08-08,1.24310839395492
"131","ecgs",2021-08-09,0.505455235355249
"132","ecgs",2021-08-10,0.518197804313784
"133","ecgs",2021-08-11,0.566336398157142
"134","ecgs",2021-08-12,0.489880984405927
"135","ecgs",2021-08-13,0.515366122322998
"136","ecgs",2021-08-14,3.3881075019751
"137","ecgs",2021-08-15,3.29890951926535
"138","ecgs",2021-08-16,0.96277187686714
"139","ecgs",2021-08-17,2.98459281828814
"140","ecgs",2021-08-18,0.686682882765533
"141","ecgs",2021-08-19,0.528108691281534
"142","ecgs",2021-08-20,0.506871076350641
"143","ecgs",2021-08-21,1.35354399159557
"144","ecgs",2021-08-22,5.73557187233646
"145","ecgs",2021-08-23,2.68018700427867
"146","ecgs",2021-08-24,0.55076214720782
"147","ecgs",2021-08-25,0.458732482507284
"148","ecgs",2021-08-26,0.429141405703574
"149","ecgs",2021-08-27,0.515366122322998
"150","ecgs",2021-08-28,0.434663185585606
"151","ecgs",2021-08-29,0.391621619325663
"152","ecgs",2021-08-30,0.414841411650106
"153","ecgs",2021-08-31,0.427583980608642
"154","ecgs",2021-09-01,0.480819602035413
"155","ecgs",2021-09-02,0.76497888981076
"156","ecgs",2021-09-03,0.428999821604034
"157","ecgs",2021-09-04,0.467227528479642
"158","ecgs",2021-09-05,0.409178047668534
"159","ecgs",2021-09-06,0.396577062809538
"160","ecgs",2021-09-07,0.414841411650106
"161","ecgs",2021-09-08,0.438910708571784
"162","ecgs",2021-09-09,3.78029545769892
"163","ecgs",2021-09-10,1.16523713920832
"164","ecgs",2021-09-11,0.455900800516499
"165","ecgs",2021-09-12,0.47147505146582
"166","ecgs",2021-09-13,0.454484959521106
"167","ecgs",2021-09-14,0.515366122322998
"168","ecgs",2021-09-15,0.526692850286142
"169","ecgs",2021-09-16,0.489880984405928
"170","ecgs",2021-09-17,0.458732482507284
"171","ecgs",2021-09-18,0.47147505146582
"172","ecgs",2021-09-19,0.50120771236907
"173","ecgs",2021-09-20,0.458732482507284
"174","ecgs",2021-09-21,0.482801779428963
"175","ecgs",2021-09-22,5.48779969814268
"176","ecgs",2021-09-23,5.38161162348824
"177","ecgs",2021-09-24,0.642791811908356
"178","ecgs",2021-09-25,0.477138415447392
"179","ecgs",2021-09-26,0.454484959521106
"180","ecgs",2021-09-27,0.436079026580999
"181","ecgs",2021-09-28,0.518197804313784
