date,solar.time,DO.obs,DO.sat,depth,temp.water,light,discharge,DO.mod
2016-10-01,2016-10-01T04:14:51Z,7.63,8.78776565021952,0.4968909060628631,21.569,0,1.9388460893097803,7.63
2016-10-01,2016-10-01T04:29:51Z,7.63,8.788301322524232,0.49479495578471744,21.569,0,1.911169335003204,7.628258462074064
2016-10-01,2016-10-01T04:44:51Z,7.63,8.804688762089473,0.4932447225663515,21.473,0,1.8908790012890928,7.627179968645493
2016-10-01,2016-10-01T04:59:51Z,7.64,8.806566823241315,0.4904611658965757,21.473,0,1.8548286835361727,7.626638530107604
2016-10-01,2016-10-01T05:14:51Z,7.64,8.807192843625263,0.4882687771196384,21.473,0,1.826778408421511,7.6254807299582605
2016-10-01,2016-10-01T05:29:51Z,7.63,8.808087158459474,0.485983106701985,21.473,0,1.7978549193782472,7.623804477281804
2016-10-01,2016-10-01T05:44:51Z,7.64,8.807192843625263,0.48552573493878,21.473,0,1.7921062851371077,7.621881337437102
2016-10-01,2016-10-01T05:59:51Z,7.63,8.80862374736,0.4833750215229341,21.473,0.02663939489752284,1.765248170668882,7.619806966207471
2016-10-01,2016-10-01T06:14:51Z,7.63,8.80862374736,0.48154323642506874,21.473,57.9789742522275,1.742597988896872,7.618218248795652
2016-10-01,2016-10-01T06:29:51Z,7.62,8.825886681251323,0.4790224309803323,21.378,115.49863335065768,1.7117645253028315,7.618727883442299
2016-10-01,2016-10-01T06:44:51Z,7.63,8.824901265714132,0.4786097028885493,21.378,172.33919993500703,1.7067531660655355,7.62120635415772
2016-10-01,2016-10-01T06:59:51Z,7.63,8.826782513557859,0.4762696681607522,21.378,228.2571665413158,1.678536022560544,7.624461645697189
2016-10-01,2016-10-01T07:14:51Z,7.64,8.826424180635243,0.4769122413414574,21.378,283.01297822339984,1.6862513863511512,7.628591052546788
2016-10-01,2016-10-01T07:29:51Z,7.65,8.830097093092043,0.4731463183753623,21.378,336.3720588433353,1.6413886226830428,7.633313310834975
2016-10-01,2016-10-01T07:44:51Z,7.63,8.830097093092043,0.4722269631650965,21.378,388.10581596129794,1.63056585110254,7.63825113505536
2016-10-01,2016-10-01T07:59:51Z,7.65,8.831888757705116,0.47130727777917714,21.378,437.9926201343292,1.6197896991607583,7.643702963338862
2016-10-01,2016-10-01T08:14:51Z,7.64,8.833949172010152,0.4697890726973135,21.378,485.8187544249664,1.6021107212701875,7.649586669018314
2016-10-01,2016-10-01T08:29:51Z,7.66,8.833053339703616,0.4683620554593737,21.378,531.3793299287554,1.5856182047821448,7.655496138840657
2016-10-01,2016-10-01T08:44:51Z,7.66,8.833322089395576,0.46684209098806834,21.378,574.4791635177708,1.568183682595223,7.661234242383224
2016-10-01,2016-10-01T08:59:51Z,7.65,8.833680422318192,0.4657360889796794,21.378,614.9336140772754,1.5555828352881922,7.666906132322519
2016-10-01,2016-10-01T09:14:51Z,7.65,8.833322089395576,0.4644912574570541,21.378,652.5693734328333,1.54148597941403,7.672450341153122
2016-10-01,2016-10-01T09:29:51Z,7.66,8.832695006781,0.4634303600264824,21.378,687.2252088421135,1.5295434381290756,7.677741797571065
2016-10-01,2016-10-01T09:44:51Z,7.66,8.816404286417635,0.46218438689229513,21.473,718.752653743015,1.5156010804950832,7.681760298863732
2016-10-01,2016-10-01T09:59:51Z,7.66,8.815688834550267,0.4615842530199222,21.473,747.0166437245185,1.5089177453373424,7.684676385178177
2016-10-01,2016-10-01T10:14:51Z,7.66,8.814794519716054,0.459736783447435,21.473,771.8960952035467,1.488474193155643,7.68738329309888
2016-10-01,2016-10-01T10:29:51Z,7.66,8.79713991555198,0.4586276445552686,21.569,793.2844241071238,1.4762951762394048,7.688673332925835
2016-10-01,2016-10-01T10:44:51Z,7.66,8.778823026617447,0.4584889674328006,21.664,811.0900025055521,1.4747773824066168,7.687860762594288
2016-10-01,2016-10-01T10:59:51Z,7.66,8.779357795294345,0.45682423769077096,21.664,825.2365511213329,1.4566431264574862,7.686193155117004
2016-10-01,2016-10-01T11:14:51Z,7.67,8.761198092940278,0.45557495605175097,21.76,835.6634661240355,1.443138252908172,7.683500719316432
2016-10-01,2016-10-01T11:29:51Z,7.67,8.743889495702135,0.45451025473306805,21.855,842.3260787486412,1.431698687464191,7.678797183343558
2016-10-01,2016-10-01T11:44:51Z,7.66,8.727090358225059,0.4535840535395243,21.951,845.1958466524678,1.4217994202042834,7.67241701508535
2016-10-01,2016-10-01T11:59:51Z,7.66,8.712019585206592,0.45228678551290086,22.046,844.2604761845639,1.4080155553261144,7.66461210878557
2016-10-01,2016-10-01T12:14:51Z,7.66,8.694179567278617,0.45103519834411326,22.142,839.5239750512159,1.3948067415141512,7.655338089828005
2016-10-01,2016-10-01T12:29:51Z,7.64,8.69179333836049,0.4508497235847206,22.142,831.0066351400067,1.3928567772758609,7.6456630383202615
2016-10-01,2016-10-01T12:44:51Z,7.65,8.676310351199595,0.449319019167768,22.238,818.7449455783587,1.37683733250038,7.6356557988035325
2016-10-01,2016-10-01T12:59:51Z,7.64,8.658137612342347,0.4493190191677685,22.333,802.7914364113617,1.3768373325003849,7.624290668918191
2016-10-01,2016-10-01T13:14:51Z,7.63,8.657609112048547,0.44820517547843786,22.333,783.214453561365,1.3652625811005874,7.612670213600627
2016-10-01,2016-10-01T13:29:51Z,7.63,8.642848654266421,0.44630117684624376,22.429,760.0978660171286,1.3456361095891574,7.600626275870053
2016-10-01,2016-10-01T13:44:51Z,7.6,8.641353747162492,0.4452324242703048,22.429,733.5407065343404,1.334707111781695,7.588049771774519
2016-10-01,2016-10-01T13:59:51Z,7.6,8.623747182077656,0.4453718535879848,22.525,703.6567473710686,1.336129339872252,7.575087679322742
2016-10-01,2016-10-01T14:14:51Z,7.59,8.624010547871475,0.44425619338888217,22.525,670.5740128777272,1.3247791357011351,7.561820932443711
2016-10-01,2016-10-01T14:29:51Z,7.58,8.623132661892077,0.44379118251790023,22.525,634.4342310326736,1.320068496105185,7.549155920234284
2016-10-01,2016-10-01T14:44:51Z,7.55,8.623132661892077,0.4414182264315415,22.525,595.392226270316,1.2962140139788207,7.536639725684004
2016-10-01,2016-10-01T14:59:51Z,7.56,8.62137688993329,0.441883696981894,22.525,553.6152562150197,1.3008690292949576,7.524278643043265
2016-10-01,2016-10-01T15:14:51Z,7.53,8.621113524139473,0.4415578770963317,22.525,509.28229510673305,1.297609376619057,7.512348635767804
2016-10-01,2016-10-01T15:29:51Z,7.51,8.621640255727106,0.4403473003898949,22.525,462.5832671110667,1.285548713319686,7.500544473102631
2016-10-01,2016-10-01T15:44:51Z,7.49,8.621991410118865,0.43922930003239896,22.525,413.71823262645074,1.274480858471263,7.488658319840323
2016-10-01,2016-10-01T15:59:51Z,7.47,8.62137688993329,0.43811077466205595,22.525,362.8965312802375,1.263475297861714,7.47656329353068
2016-10-01,2016-10-01T16:14:51Z,7.45,8.619972272366256,0.4383904553247768,22.525,310.33588501579277,1.2662208568855613,7.464387654740107
2016-10-01,2016-10-01T16:29:51Z,7.47,8.620850158345652,0.437458058346042,22.525,256.26146546959467,1.2570840901994071,7.452239047134049
2016-10-01,2016-10-01T16:44:51Z,7.45,8.620235638160075,0.4368518037799836,22.525,200.90492921690253,1.25116829931423,7.439939656224319
2016-10-01,2016-10-01T16:59:51Z,7.4,8.619357752180683,0.4377844389362316,22.525,144.50342545935936,1.2602770533616268,7.427742732248655
2016-10-01,2016-10-01T17:14:51Z,7.4,8.620586792551835,0.4361987406846159,22.525,87.29857996784631,1.2448177729108598,7.4155262803565085
2016-10-01,2016-10-01T17:29:51Z,7.39,8.63554999017077,0.4360587751413009,22.429,29.535460023513576,1.2434596851059072,7.404012844313888
2016-10-01,2016-10-01T17:44:51Z,7.37,8.637396640122683,0.43507878415219176,22.429,0,1.2339801031628297,7.393688128318356
2016-10-01,2016-10-01T17:59:51Z,7.36,8.63827599724264,0.43461197872603463,22.429,0,1.2294826229372415,7.384335543585482
2016-10-01,2016-10-01T18:14:51Z,7.36,8.639155354362599,0.4331642936137491,22.429,0,1.2156083647080214,7.376080736138079
2016-10-01,2016-10-01T18:29:51Z,7.35,8.639507097210581,0.4329774305914484,22.429,0,1.2138256078849667,7.368782740283446
2016-10-01,2016-10-01T18:44:51Z,7.35,8.656287861314047,0.4314352423601612,22.333,0,1.1991828492802294,7.36324126512016
2016-10-01,2016-10-01T18:59:51Z,7.35,8.656375944696345,0.4309209538111356,22.333,0,1.1943276436565424,7.359098234857793
2016-10-01,2016-10-01T19:14:51Z,7.34,8.672428228365996,0.43064038507961266,22.238,0,1.1916847586309347,7.3563719774606176
2016-10-01,2016-10-01T19:29:51Z,7.34,8.674545749911594,0.42904985792689226,22.238,0,1.176780392139332,7.354753813702371
2016-10-01,2016-10-01T19:44:51Z,7.35,8.690909549872293,0.42919024224382657,22.142,0,1.17809056781857,7.354189783249978
2016-10-01,2016-10-01T19:59:51Z,7.34,8.691174686418753,0.4280669303109626,22.142,0,1.1676357462037743,7.354491127930858
2016-10-01,2016-10-01T20:14:51Z,7.33,8.707593175358271,0.4272709220969463,22.046,0,1.1602669588022585,7.355310808842782
2016-10-01,2016-10-01T20:29:51Z,7.35,8.704937329449281,0.4282073740038689,22.046,0,1.1689392781754833,7.356832854534896
2016-10-01,2016-10-01T20:44:51Z,7.35,8.722124471602354,0.4274114139929699,21.951,0,1.1615651240579004,7.359008405593021
2016-10-01,2016-10-01T20:59:51Z,7.35,8.723631972898533,0.4261466799152195,21.951,0,1.1499156656671568,7.361536769095896
2016-10-01,2016-10-01T21:14:51Z,7.36,8.739270490449027,0.4258186729586452,21.855,0,1.1469079193553051,7.3643525304031074
2016-10-01,2016-10-01T21:29:51Z,7.36,8.740780549858696,0.4250218905342695,21.855,0,1.1396247518535991,7.367521653433856
2016-10-01,2016-10-01T21:44:51Z,7.37,8.757105174109778,0.4238027489053315,21.76,0,1.1285442074284553,7.370830340022052
2016-10-01,2016-10-01T21:59:51Z,7.37,8.756838244620834,0.4234274983435403,21.76,0,1.125148994133136,7.374225757387839
2016-10-01,2016-10-01T22:14:51Z,7.38,8.773742724186896,0.4224891034359474,21.664,0,1.1166901052523963,7.377796477112441
2016-10-01,2016-10-01T22:29:51Z,7.38,8.772227546269013,0.4228175853317313,21.664,0,1.119645984197009,7.38159275721593
2016-10-01,2016-10-01T22:44:51Z,7.37,8.789908339438366,0.42234831106444976,21.569,0,1.115424858674135,7.3857488290164826
2016-10-01,2016-10-01T22:59:51Z,7.4,8.790533290460532,0.4224891034359474,21.569,0,1.1166901052523963,7.390325079202585
2016-10-01,2016-10-01T23:14:51Z,7.38,8.806656254724736,0.422019761864244,21.473,0,1.112476251223407,7.395139725687181
2016-10-01,2016-10-01T23:29:51Z,7.41,8.807282275108685,0.42122166016581086,21.473,0,1.105336509855507,7.399934133324862
2016-10-01,2016-10-01T23:44:51Z,7.42,8.824184599868902,0.42075205831825335,21.378,0,1.1011506483107478,7.404767007085453
2016-10-01,2016-10-01T23:59:51Z,7.39,8.823020017870403,0.4213625218913165,21.378,0,1.106594287480142,7.409840188168344
2016-10-01,2016-10-02T00:14:51Z,7.41,8.839520622485853,0.4207520583182524,21.282,0,1.1011506483107394,7.415050339575535
2016-10-01,2016-10-02T00:29:51Z,7.42,8.838264302295798,0.4204702508171501,21.282,0,1.0986440980023024,7.420157617617146
2016-10-01,2016-10-02T00:44:51Z,7.42,8.854375880992352,0.4204232795145776,21.187,0,1.0982267015303264,7.425283916828095
2016-10-01,2016-10-02T00:59:51Z,7.43,8.85500511138822,0.4191546880523289,21.187,0,1.086996032274654,7.43032603519735
2016-10-01,2016-10-02T01:14:51Z,7.47,8.873145695558529,0.41774431100277143,21.091,0,1.074605608242413,7.435106572428211
2016-10-01,2016-10-02T01:29:51Z,7.45,8.871074657048819,0.41694470758955393,21.091,0,1.0676254139856938,7.439579386535776
2016-10-01,2016-10-02T01:44:51Z,7.46,8.886032358074381,0.4176032250403902,20.996,0,1.0733716543997025,7.44406189246357
2016-10-01,2016-10-02T01:59:51Z,7.46,8.8848597682663,0.4172269528215275,20.996,0,1.0700856268065766,7.448722291086442
