date,solar.time,DO.obs,DO.sat,depth,temp.water,light,discharge,DO.mod
2021-02-16,2021-02-16T20:00:17Z,NA,NA,0.33766093966936306,NA,0,0.52102948630457,NA
2021-02-16,2021-02-16T20:15:17Z,NA,NA,0.33766093966936306,NA,0,0.52102948630457,NA
2021-02-16,2021-02-16T20:30:17Z,NA,NA,0.33766093966936306,NA,0,0.52102948630457,NA
2021-02-16,2021-02-16T20:45:17Z,NA,NA,0.33766093966936306,NA,0,0.52102948630457,NA
2021-02-16,2021-02-16T21:00:17Z,NA,NA,0.33046482626583895,NA,0,0.4842176204243559,NA
2021-02-16,2021-02-16T21:15:17Z,NA,NA,0.33046482626583895,NA,0,0.4842176204243559,NA
2021-02-16,2021-02-16T21:30:17Z,NA,NA,0.33046482626583895,NA,0,0.4842176204243559,NA
2021-02-16,2021-02-16T21:45:17Z,NA,NA,0.33046482626583895,NA,0,0.4842176204243559,NA
2021-02-16,2021-02-16T22:00:17Z,NA,NA,0.33046482626583895,NA,0,0.4842176204243559,NA
2021-02-16,2021-02-16T22:15:17Z,NA,NA,0.323470842223047,NA,0,0.45023743653492737,NA
2021-02-16,2021-02-16T22:30:17Z,NA,NA,0.33046482626583895,NA,0,0.4842176204243559,NA
2021-02-16,2021-02-16T22:45:17Z,NA,NA,0.33046482626583895,NA,0,0.4842176204243559,NA
2021-02-16,2021-02-16T23:00:17Z,NA,NA,0.323470842223047,NA,0,0.45023743653492737,NA
2021-02-16,2021-02-16T23:15:17Z,NA,NA,0.323470842223047,NA,0,0.45023743653492737,NA
2021-02-16,2021-02-16T23:30:17Z,NA,NA,0.323470842223047,NA,0,0.45023743653492737,NA
2021-02-16,2021-02-16T23:45:17Z,NA,NA,0.323470842223047,NA,0,0.45023743653492737,NA
2021-02-16,2021-02-17T00:00:17Z,NA,NA,0.323470842223047,NA,0,0.45023743653492737,NA
2021-02-16,2021-02-17T00:15:17Z,NA,NA,0.323470842223047,NA,0,0.45023743653492737,NA
2021-02-16,2021-02-17T00:30:17Z,NA,NA,0.3160935843369491,NA,0,0.4162572526454989,NA
2021-02-16,2021-02-17T00:45:17Z,NA,NA,0.3160935843369491,NA,0,0.4162572526454989,NA
2021-02-16,2021-02-17T01:00:17Z,NA,NA,0.3160935843369491,NA,0,0.4162572526454989,NA
2021-02-16,2021-02-17T01:15:17Z,NA,NA,0.3160935843369491,NA,0,0.4162572526454989,NA
2021-02-16,2021-02-17T01:30:17Z,NA,NA,0.323470842223047,NA,0,0.45023743653492737,NA
2021-02-16,2021-02-17T01:45:17Z,NA,NA,0.3160935843369491,NA,0,0.4162572526454989,NA
2021-02-16,2021-02-17T02:00:17Z,NA,NA,0.3160935843369491,NA,0,0.4162572526454989,NA
2021-02-16,2021-02-17T02:15:17Z,NA,NA,0.3160935843369491,NA,0,0.4162572526454989,NA
2021-02-16,2021-02-17T02:30:17Z,NA,NA,0.30894759856995335,NA,0,0.3851087507468561,NA
2021-02-16,2021-02-17T02:45:17Z,NA,NA,0.30894759856995335,NA,0,0.3851087507468561,NA
2021-02-16,2021-02-17T03:00:17Z,NA,NA,0.30894759856995335,NA,0,0.3851087507468561,NA
2021-02-16,2021-02-17T03:15:17Z,NA,NA,0.30894759856995335,NA,0,0.3851087507468561,NA
2021-02-16,2021-02-17T03:30:17Z,NA,NA,0.30208789643844536,NA,0,0.356791930838999,NA
