date,GPP_mean,GPP_se_mean,GPP_sd,GPP_2.5pct,GPP_25pct,GPP_50pct,GPP_75pct,GPP_97.5pct,GPP_n_eff,GPP_Rhat,ER_mean,ER_se_mean,ER_sd,ER_2.5pct,ER_25pct,ER_50pct,ER_75pct,ER_97.5pct,ER_n_eff,ER_Rhat,DO_R2_mean,DO_R2_se_mean,DO_R2_sd,DO_R2_2.5pct,DO_R2_25pct,DO_R2_50pct,DO_R2_75pct,DO_R2_97.5pct,DO_R2_n_eff,DO_R2_Rhat,GPP_daily_mean,GPP_daily_se_mean,GPP_daily_sd,GPP_daily_2.5pct,GPP_daily_25pct,GPP_daily_50pct,GPP_daily_75pct,GPP_daily_97.5pct,GPP_daily_n_eff,GPP_daily_Rhat,ER_daily_mean,ER_daily_se_mean,ER_daily_sd,ER_daily_2.5pct,ER_daily_25pct,ER_daily_50pct,ER_daily_75pct,ER_daily_97.5pct,ER_daily_n_eff,ER_daily_Rhat,K600_daily_mean,K600_daily_se_mean,K600_daily_sd,K600_daily_2.5pct,K600_daily_25pct,K600_daily_50pct,K600_daily_75pct,K600_daily_97.5pct,K600_daily_n_eff,K600_daily_Rhat,K600_daily_predlog_mean,K600_daily_predlog_se_mean,K600_daily_predlog_sd,K600_daily_predlog_2.5pct,K600_daily_predlog_25pct,K600_daily_predlog_50pct,K600_daily_predlog_75pct,K600_daily_predlog_97.5pct,K600_daily_predlog_n_eff,K600_daily_predlog_Rhat,valid_day,warnings,errors
2021-03-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,,data don't start when expected; NAs in DO.obs; NAs in DO.sat; NAs in temp.water
2021-03-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,,NAs in DO.obs; NAs in DO.sat; NAs in temp.water
2021-03-13,3.738201915844132,0.010593647120904126,0.4269494945122905,2.9163806894055875,3.443647643575533,3.7310605811614543,4.037423666735664,4.5685230795652965,1624.2841365371848,1.0011574119891622,-3.079625422428534,0.01515663122128975,0.6513256379662324,-4.3988630468636325,-3.5149913435685067,-3.096411072773937,-2.6643828704192507,-1.7847808446321514,1846.6771667362634,1.0004030595968287,0.9992300647555501,4.664910762336592e-6,1.1504173199924334e-4,0.9989914225850184,0.9991550613402844,0.9992380354211282,0.9993097601200044,0.9994395895132989,608.168808576766,1.0034175015262892,3.7382019158415982,0.010593647120896955,0.42694949451200104,2.916380689403611,3.443647643573198,3.7310605811589266,4.037423666732927,4.5685230795622,1624.284136537182,1.0011574119891622,-3.079625422428534,0.01515663122128975,0.6513256379662324,-4.398863046863642,-3.5149913435684996,-3.0964110727739382,-2.6643828704192547,-1.7847808446321547,1846.6771667362634,1.0004030595968287,4.294065508240614,0.016146180439334086,0.737801777574034,2.8389919187084676,3.823723423825141,4.287895616439848,4.767022126740827,5.753050860167509,2088.044698527244,0.999011215407379,1.9741276670693848,0.0017088345631118414,0.042494067465402643,1.888587260307045,1.945801852401058,1.9751722918011891,2.002612170511477,2.058190027715851,618.3816120029537,1.000703866950515,TRUE,,
2021-03-14,4.2076684621306875,0.012331158728171358,0.46136409986299476,3.2972067632945934,3.892069382250476,4.21887064587602,4.5192570120344016,5.095638290110156,1399.8445773966855,0.9991778418210511,-3.6895157039791977,0.016699508249793684,0.6680677754771177,-5.021085246916008,-4.140472173964329,-3.6882263014657326,-3.2361461593499588,-2.4013698030643384,1600.4189402840768,0.999543263793301,0.9992686270449329,4.366639872485749e-6,1.1102827787616061e-4,0.9990355327329778,0.9991952093521126,0.9992769005067915,0.9993459900366048,0.9994627010719584,646.5058443276515,1.0102895826544473,4.2076684621278355,0.012331158728163004,0.461364099862682,3.2972067632923574,3.8920693822478385,4.218870645873161,4.519257012031337,5.095638290106703,1399.8445773966844,0.9991778418210511,-3.689515703979198,0.01669950824979368,0.6680677754771177,-5.0210852469160105,-4.140472173964331,-3.6882263014657317,-3.2361461593499596,-2.4013698030643353,1600.4189402840773,0.999543263793301,5.293010549490548,0.017645201898651444,0.7874321854178237,3.721010481290721,4.747625559755383,5.300991256603284,5.840550381471776,6.815579366143752,1991.4667526052704,0.9990923116663357,1.9664210419446235,0.0017418376833023296,0.045211663709718415,1.8758779390079543,1.9366424503914743,1.9672709253261784,1.9967760732418152,2.053718392743966,673.7295767659647,1.0005818546698935,TRUE,,
2021-03-15,4.074972134443581,0.011489855504086788,0.45087412407718025,3.1679472352186804,3.7671083387131516,4.076140939568379,4.372368801289867,4.983121244533623,1539.8608913572484,0.9996945893157188,-3.3709443620054182,0.015667357144060493,0.6581169051808137,-4.635137791040517,-3.815384307964043,-3.3838540320337533,-2.940575036280243,-2.045385044773047,1764.4713318325464,0.9989526658491752,0.9992994355266258,4.670857958975295e-6,1.041650335713775e-4,0.9990804710271628,0.9992332465760467,0.9993060410295753,0.999372556634158,0.9994849711199812,497.336799451058,1.0005193095538913,4.074972134440819,0.011489855504079003,0.45087412407687466,3.167947235216533,3.7671083387105972,4.076140939565617,4.372368801286903,4.9831212445302455,1539.8608913572475,0.9996945893157189,-3.3709443620054182,0.01566735714406047,0.6581169051808137,-4.635137791040507,-3.8153843079640404,-3.3838540320337556,-2.9405750362802436,-2.045385044773046,1764.471331832551,0.9989526658491752,5.584937957060684,0.018483894820709456,0.8507161212033836,3.949728427027211,4.982386349075965,5.597188172768025,6.167261159920164,7.184130325675544,2118.2750381801684,1.0000048341226353,1.9668038461832384,0.001698864416253756,0.043283805764410654,1.8806599411569787,1.9388239769192162,1.9676989871737107,1.9960708244831231,2.051751393885896,649.1326282117379,1.00079462477368,TRUE,,
2021-03-16,2.118634320494681,0.01175471078391544,0.44336629915774667,1.2239753453785673,1.8296393544984721,2.1187196539586854,2.4170078353528455,2.986797571388677,1422.661115104152,0.9997357124938182,-6.035995456196374,0.03671007126807813,0.9921463674711943,-7.950613797200841,-6.690629698344164,-6.051267979216714,-5.381167204165903,-4.029291835740054,730.4340969299128,1.0036316040749342,0.9946182797730323,3.6639077653347714e-5,8.352501690779848e-4,0.9928340063424017,0.9940779382926153,0.9946744504351004,0.9952041103570615,0.9961228718548951,519.6896647094003,1.0066482252610327,2.1186343204932454,0.0117547107839075,0.4433662991574462,1.2239753453777376,1.8296393544972323,2.1187196539572497,2.417007835351207,2.986797571386653,1422.6611151041457,0.9997357124938182,-6.035995456196374,0.036710071268078105,0.9921463674711942,-7.950613797200848,-6.690629698344169,-6.051267979216721,-5.381167204165899,-4.029291835740046,730.4340969299137,1.0036316040749342,9.30223500367723,0.04234335532601666,1.367725739181664,6.582545565272983,8.426383991045785,9.237161100170056,10.218632523748,11.983653978163936,1043.3439500115194,1.0038381665844205,2.1135874309810583,0.001402035307683901,0.047861610183581656,2.022668582422084,2.0795387821377362,2.1147268977990734,2.147990709587316,2.205326334468286,1165.3508819555686,1.0044051763064035,TRUE,,
2021-03-17,2.6564293369307803,0.011429181869859396,0.4419613656400397,1.7698976228766738,2.356403798499727,2.6587736895809337,2.962940763822575,3.4833359716112127,1495.3344075583116,0.999130416584468,-4.283380180656189,0.020109093717135075,0.7685948321563317,-5.741821923029756,-4.810311592439358,-4.298584799183916,-3.752413875482295,-2.759912408060641,1460.8644606457162,1.0003079863804323,0.997908704930716,1.3506904864724472e-5,3.168524118406288e-4,0.9972395904949369,0.9977035213925214,0.9979369493530238,0.9981287789275818,0.9984673658520807,550.3035984136772,1.004867914737961,2.6564293369289795,0.011429181869851658,0.44196136563974003,1.7698976228754737,2.3564037984981296,2.6587736895791316,2.9629407638205665,3.4833359716088514,1495.334407558309,0.999130416584468,-4.283380180656189,0.020109093717135085,0.768594832156332,-5.741821923029756,-4.810311592439365,-4.2985847991839226,-3.7524138754822984,-2.7599124080606368,1460.8644606457158,1.0003079863804323,6.337604928472658,0.02372877426435184,1.059134558911494,4.2550353835705765,5.624407982821978,6.343443677900203,7.042742860092448,8.424661508540508,1992.2859322907518,1.0003041893864673,2.092050543730802,0.0017507111796294978,0.04074966090781477,2.0109178403919126,2.0663631263048576,2.0916803597497555,2.1185746093743467,2.174197421277357,541.7750342192489,1.0076563231830529,TRUE,,
2021-03-18,2.7271170864718774,0.011864163743976157,0.4548361820282751,1.852769704698535,2.4149974809794554,2.730746948480883,3.039139056936233,3.637075484193724,1469.7238665785162,1.0011122683390865,-5.684874055838675,0.028302214956035146,0.9594780414139562,-7.59364600930619,-6.327046900667919,-5.674376684588431,-5.0595161403105715,-3.8489894406262,1149.288946011494,1.001514292501209,0.9968091282981679,1.6542329291685135e-5,4.744376968981323e-4,0.9958034928429491,0.996492838516337,0.9968464357118716,0.9971500494507939,0.9976813643236517,822.5552047599291,1.002590265197984,2.7271170864700287,0.01186416374396812,0.45483618202796683,1.8527697046972793,2.4149974809778185,2.730746948479032,3.039139056934173,3.6370754841912585,1469.7238665785158,1.0011122683390865,-5.684874055838675,0.028302214956035156,0.9594780414139563,-7.593646009306185,-6.3270469006679155,-5.674376684588438,-5.059516140310576,-3.8489894406262026,1149.2889460114939,1.001514292501209,6.023540598033418,0.029431025508762865,1.0551244354598515,3.8814681086697984,5.3333836893524875,6.016650330463872,6.756389409415357,8.09518498422951,1285.2765135885084,1.0002041943011206,2.063367226418084,0.0012427066422808588,0.04816199852641256,1.969270071208105,2.0303140556286117,2.061530340047266,2.0961675566502795,2.1589596638895174,1502.0063227235614,1.0038887532431227,TRUE,,
2021-03-19,1.0419434042451958,0.008242172170203737,0.42419509110601505,0.1756197338262773,0.7706065684234155,1.0417282404335368,1.3168058178483735,1.916222091303247,2648.7923436816304,1.0002799813220435,-7.7913309512492965,0.0480187788645621,1.4344694338162118,-10.588343935788746,-8.783496397162427,-7.7819642748920765,-6.830144330668455,-5.087177145182396,892.4016692723293,1.0030094785719947,0.9869604295502148,7.721251513026652e-5,0.0019735598576196044,0.982773202644377,0.9856087179973496,0.9870794520785418,0.988348094896342,0.9904750331784976,653.3188772885144,1.0009099054146187,1.0419434042444895,0.008242172170198145,0.4241950911057275,0.17561973382615823,0.7706065684228931,1.041728240432831,1.3168058178474809,1.916222091301949,2648.792343681634,1.0002799813220435,-7.791330951249296,0.048018778864562024,1.4344694338162118,-10.588343935788723,-8.783496397162423,-7.781964274892079,-6.8301443306684595,-5.087177145182403,892.4016692723324,1.0030094785719947,8.273489794559676,0.047925194487805925,1.4627516062883525,5.3670970432185,7.281246470016239,8.301260522970285,9.26862408902901,11.127917208817927,931.5655066544942,1.0026966397180896,2.02466119816471,0.0014196759649439431,0.04919138879499874,1.9285511152251236,1.9913067138543623,2.02515411366368,2.057961707127324,2.122717177338724,1200.603785275284,1.0015889212531903,TRUE,,
2021-03-20,1.2617129410627888,0.01148317085788471,0.43626154651746657,0.40016124040559015,0.978473530745432,1.2487475912975072,1.5448775456297101,2.122462361114182,1443.3452113744388,0.9992003881468969,-10.254942094676139,0.06126749704938893,1.5932107158081652,-13.509309198463225,-11.309363670201687,-10.23001890163293,-9.177076464215546,-7.193022147804905,676.2171180451006,1.0043757209899413,0.9934874951112337,3.8442303981987445e-5,9.921644056462215e-4,0.9913766232176608,0.9928629768365036,0.9935127175381189,0.9941801286750317,0.9953604719826575,666.1138562752963,1.004932482746316,1.2617129410619334,0.011483170857876921,0.4362615465171708,0.4001612404053189,0.9784735307447687,1.248747591296661,1.5448775456286628,2.122462361112743,1443.34521137444,0.9992003881468969,-10.254942094676139,0.061267497049388824,1.5932107158081648,-13.509309198463239,-11.30936367020169,-10.230018901632913,-9.177076464215535,-7.193022147804922,676.2171180451027,1.0043757209899413,9.155858884660368,0.05232354487316614,1.3992346931739592,6.4975093023113475,8.18070473399562,9.139347053087835,10.099823482415047,11.91893083248568,715.1329859369918,1.0042749479959336,2.1450288670701037,0.0018395554534175705,0.053611048351210173,2.0396366166312117,2.109396783231563,2.146418511947961,2.1805085403533595,2.2509489706884898,849.3424514038147,1.0030538452088777,TRUE,,
