date,discharge.daily,lnQ.daily,lnQ.bin1,lnQ.bin2,lnQ.bin1.weight,lnQ.bin2.weight
2018-12-28,NA,NA,NA,NA,NA,NA
2018-12-29,NA,NA,NA,NA,NA,NA
2018-12-30,NA,NA,NA,NA,NA,NA
2018-12-31,NA,NA,NA,NA,NA,NA
2019-01-01,NA,NA,NA,NA,NA,NA
2019-01-02,NA,NA,NA,NA,NA,NA
2019-01-03,NA,NA,NA,NA,NA,NA
2019-01-04,NA,NA,NA,NA,NA,NA
2019-01-05,NA,NA,NA,NA,NA,NA
2019-01-06,NA,NA,NA,NA,NA,NA
2019-01-07,NA,NA,NA,NA,NA,NA
2019-01-08,1.525051031940174,0.4220278730668095,3,4,0.9611207025121042,0.03887929748789576
2019-01-09,1.422588260807969,0.35247793135575184,2,3,0.04783106687866593,0.9521689331213341
2019-01-10,1.310479720022304,0.2703932686690661,2,3,0.1501689098065374,0.8498310901934626
2019-01-11,1.2443123076825169,0.21858301400064442,2,3,0.21476258091106612,0.7852374190889339
2019-01-12,1.2129893030766192,0.19308781135470218,2,3,0.24654834890226351,0.7534516510977365
2019-01-13,6.279266554610823,1.8372531829924799,4,5,0.1967094137974668,0.8032905862025332
2019-01-14,2.7535240224352076,1.0128815540096376,3,4,0.22448258749077463,0.7755174125092253
2019-01-15,2.0871139532540095,0.7357822280678071,3,4,0.5699520864871296,0.4300479135128704
2019-01-16,1.7743986275818657,0.5734615641589018,3,4,0.7723229809191755,0.2276770190808245
2019-01-17,1.4832484551232044,0.3942345846075846,3,4,0.995771575107461,0.004228424892539051
2019-01-18,1.4084744289773983,0.34250715337886045,2,3,0.06026198730971619,0.9397380126902838
2019-01-19,1.384613070334685,0.32542072900828145,2,3,0.08156423496723009,0.9184357650327699
2019-01-20,2.6024906940103314,0.9564689457120563,3,4,0.29481417512420754,0.7051858248757925
2019-01-21,1.8749059677534063,0.6285585076332776,3,4,0.7036316790055835,0.29636832099441646
2019-01-22,1.54301488419057,0.4337382196018806,3,4,0.9465210006297763,0.05347899937022371
2019-01-23,1.4220045668771892,0.3520675429632262,2,3,0.04834271255617841,0.9516572874438216
2019-01-24,4.755453078200652,1.5592919760428507,4,5,0.5432534502325059,0.45674654976749407
2019-01-25,2.445979425916824,0.8944456259118718,3,4,0.3721408345977802,0.6278591654022199
2019-01-26,1.9845878368918835,0.6854112537338254,3,4,0.6327513560558038,0.3672486439441962
2019-01-27,1.7257345412615823,0.5456527808684881,3,4,0.8069931714668572,0.19300682853314277
2019-01-28,1.4511071810127398,0.3723268381710825,2,3,0.023084734963888583,0.9769152650361114
2019-01-29,1.3940544278460851,0.33221635594203547,2,3,0.07309188728399188,0.9269081127160081
2019-01-30,1.4024089599329361,0.3381914436040047,2,3,0.06564253483961552,0.9343574651603845
2019-01-31,1.275419683568056,0.2432752880307316,2,3,0.18397785233310612,0.8160221476668938
2019-02-01,1.2391015710684363,0.21438657755043877,2,3,0.21999442618205362,0.7800055738179463
2019-02-02,1.2069680322150862,0.18811145644160834,2,3,0.2527525460175444,0.7472474539824556
