date,GPP.daily,GPP.daily.sd,GPP.daily.grad,ER.daily,ER.daily.sd,ER.daily.grad,K600.daily,K600.daily.sd,K600.daily.grad,minimum,iterations,code,code.str,warnings,errors
2022-01-01,0.15055131167926478,0.028342174624663985,6.195641644168852e-4,-1.4185601673290622,0.24839682005379524,4.74597115385222e-4,4.732501691272063,0.878731322771204,1.1973657265684768e-4,-41.87810143246172,27,2,"successive iterates within tolerance, current iterate is probably solution",,
2022-01-02,-0.22523686865346867,0.14651426022701194,-4.13426004541861e-5,-2.0546888147425593,0.6703430488945892,-3.321378017062668e-5,4.657127362152269,1.3153230721325442,-1.9686460461798544e-5,98.30015893533157,22,3,last global step failed to locate a point lower than estimate. Either estimate is an approximate local minimum of the function or steptol is too small,last global step failed to locate a point lower than estimate. Either estimate is an approximate local minimum of the function or steptol is too small,
2022-01-03,-373.0346979426279,945.8470731303134,-1.5513724197407873e-7,-430.04343148302576,1092.772193197659,5.69214475441108e-8,1136.4111786427204,2877.3265172360716,-2.9801985050621385e-8,114.84682356744787,43,1,"relative gradient is close to zero, current iterate is probably solution",,
2022-01-04,-1.0640763263472366,0.12600984751269784,-1.2999379350731023e-5,0.6731380145928281,0.3900516471503521,-9.214318197336972e-6,-0.05528926120344346,0.6069988671690579,-4.087041816092093e-6,115.16106368438233,24,1,"relative gradient is close to zero, current iterate is probably solution",,
2022-01-05,0.4892713963541254,0.05976275485498729,-0.0031203302697235783,0.6048042208224578,0.0934103797044545,-0.0016350339002713084,-3.269108939872717,0.25622468217308436,-7.156422903165087e-4,63.47675891074887,36,3,last global step failed to locate a point lower than estimate. Either estimate is an approximate local minimum of the function or steptol is too small,last global step failed to locate a point lower than estimate. Either estimate is an approximate local minimum of the function or steptol is too small,
2022-01-06,-4.705992681935381,5.406111097802015,-9.646949905572901e-8,-136.15918727161858,161.59997608206032,-2.875807905627346e-7,961.4577362054449,1137.051203916119,-4.100403489923027e-8,-55.1091447901052,49,1,"relative gradient is close to zero, current iterate is probably solution",,
2022-01-07,13.741881402452144,19.476024879484026,1.3527419214692544e-5,-220.7454913602021,305.082888256863,1.0972903025102532e-5,1890.4870459698288,2600.347959313375,1.1869508868606547e-6,-61.53747191675287,58,2,"successive iterates within tolerance, current iterate is probably solution",,
2022-01-08,-1.5830933993926444,1.8802658653483046,6.394884621840896e-8,-204.18969048943487,114.16693523984968,-6.291508955104326e-8,2486.9856919693307,1381.334974398865,-5.4169552778342335e-9,-76.6473103907152,48,1,"relative gradient is close to zero, current iterate is probably solution",,
2022-01-09,-2.1227952661874365,3.719492726153609,2.81663581347402e-7,-117.01930001281471,178.15408724795307,4.907401078099302e-7,1080.926603327778,1650.4452100012209,5.2295979530696175e-8,6.236163215317202,49,1,"relative gradient is close to zero, current iterate is probably solution",,
2022-01-10,-0.09786948046653585,0.008808619649163553,-26.272116496137674,1.1302105897220884,0.011080119659362755,-20.534908627965347,-4.21878514564692,NA,-4.269313090404122,-138.7620990357983,35,3,last global step failed to locate a point lower than estimate. Either estimate is an approximate local minimum of the function or steptol is too small,NaNs produced; last global step failed to locate a point lower than estimate. Either estimate is an approximate local minimum of the function or steptol is too small,
2022-01-11,-0.0042407471756379725,0.015292250774260812,0.0011995382021012788,0.6411695505011016,0.03834191055303865,9.966874650046966e-4,-2.2183463890320936,0.2266623570584928,1.144080279402714e-4,-54.209595035960064,33,3,last global step failed to locate a point lower than estimate. Either estimate is an approximate local minimum of the function or steptol is too small,last global step failed to locate a point lower than estimate. Either estimate is an approximate local minimum of the function or steptol is too small,
2022-01-12,-10.61580827686281,6.4320967648340535,-6.576119497239105e-8,-83.7804333788611,52.38819316869358,-8.947466084796412e-8,818.2298836150882,506.8850675452871,-1.0186215949045883e-8,-14.138600285056771,43,1,"relative gradient is close to zero, current iterate is probably solution",,
2022-01-13,1.2224723358720064,1.066198671683602,-4.783000662200715e-6,-275.20499422599596,NA,-3.0099073469259926e-5,2724.695889624601,NA,-3.059346672412792e-6,-119.59369726169777,51,2,"successive iterates within tolerance, current iterate is probably solution",NaNs produced,
2022-01-14,9.364301155137428,10.041980712899793,-4.325035607820677e-8,-433.2004192237556,347.9368415136731,1.3676130187924865e-7,4528.292523941528,3604.9272405928295,1.3329661253924743e-8,-44.773334551296585,56,1,"relative gradient is close to zero, current iterate is probably solution",,
2022-01-15,161.1335601871851,98.36671396482939,-0.002956347029850569,-13000.694072463557,NA,-0.0033700163267235384,158882.3834216296,NA,-2.7278181266663607e-4,-91.23241801469064,52,5,"maximum step size stepmax exceeded five consecutive times. Either the function is unbounded below, becomes asymptotic to a finite value from above in some direction or stepmax is too small","NaNs produced; maximum step size stepmax exceeded five consecutive times. Either the function is unbounded below, becomes asymptotic to a finite value from above in some direction or stepmax is too small",
2022-01-16,-0.26257722275456935,0.03670083899020146,2.517881458885538e-4,0.09132930952500697,0.09334584192635911,1.499962820616928e-4,1.2058587576812438,0.7293119679393915,2.3413271321714984e-5,13.916473243276748,25,2,"successive iterates within tolerance, current iterate is probably solution",,
2022-01-17,40.30125210340534,NA,1.1954600024760495e-5,-486.2470118854112,NA,-1.5138317289443101e-5,3000.04616467877,NA,-2.6248260720271732e-6,-207.59837723942823,53,3,last global step failed to locate a point lower than estimate. Either estimate is an approximate local minimum of the function or steptol is too small,NaNs produced; last global step failed to locate a point lower than estimate. Either estimate is an approximate local minimum of the function or steptol is too small,
