site,resolution,date,GPP,GPP.lower,GPP.upper,GPP.n_eff,GPP.Rhat,ER,ER.lower,ER.upper,ER.n_eff,ER.Rhat,K600,K600.lower,K600.upper,K600.n_eff,K600.Rhat,DO.obs,DO.sat,DO.amp,DO.psat,depth,temp.water,discharge,shortwave
NC_NHC,15min,2017-01-16,-0.17982710845076677,-0.5277424696325637,0.18860293418379692,1050.0413464519777,1.0012978782580308,-0.6205328917445873,-1.2678218713006078,0.0226254544255355,1006.3256282653635,1.0025261284982436,8.710743019637544,5.886595783830333,11.68126719303682,791.1994926057434,1.005246124992753,11.384791666666667,11.669823350153804,0,97.55753214993284,0.4148494095235892,8.98396875,1.0496943058582675,156.53972998130374
NC_NHC,15min,2017-01-17,-0.02886963979354447,-0.3893525701141571,0.33443122940171344,1133.062852503614,1.002051386749204,-0.7119951132034777,-1.2818720928817051,-0.1619337593171715,1134.9669179326684,1.00047764029889,7.725048904513132,4.958246499756036,10.259743505531278,844.6372772710824,1.0028959713614105,11.270520833333332,11.498461755982039,0,98.017639859261,0.40815013002923517,9.323614583333333,0.9929795269270557,157.5461434703875
NC_NHC,15min,2017-01-18,0.01705566032851438,-0.3400603550709448,0.3825422615560958,1078.3140033532277,1.000831608022682,-0.7883711291938698,-1.3664917922463409,-0.20808239805211848,1078.765303286846,0.9994991118640733,7.0472925177799155,4.590682484215204,9.604019863680447,758.6769723154162,1.00508637520792,10.7853125,11.054237238332247,0,97.56722483393328,0.40457179528328385,10.733770833333333,0.9641226699154032,158.58810325386708
NC_NHC,15min,2017-01-19,-0.02115718754487239,-0.3949479236298484,0.3573434190345389,1034.1995792512064,1.0021568118696886,-0.5012581161958156,-1.1148201501433093,0.08647004481645991,1113.2832038894069,1.000067186787941,6.74616676132938,4.083485535136428,9.276519281922106,964.961385320921,1.000406133102995,11.027083333333334,11.35773706034999,0,97.08873585239992,0.405128766392753,9.622114583333333,0.9695778317206204,159.6656207142074
NC_NHC,15min,2017-01-20,0.549566748651148,0.21275138463813495,0.8815701465373132,909.5117170583704,1.0010433337966786,-1.283012236978855,-1.9393674683422863,-0.6208699908640131,964.4392299667544,1.0002355717209923,6.874407712315271,4.123891806764348,9.65907866622715,897.5261555254292,1.0041695599549048,11.081458333333334,11.40262370389833,0,97.18340814443262,0.37234722643635265,9.262708333333332,0.7354849978621328,160.7894303633857
NC_NHC,15min,2017-01-21,0.6626189625762113,0.32004671960933195,1.027924486590012,1259.9698987509978,0.9986955317148992,-1.6393039271787695,-2.3029972251153423,-0.9383553418549976,1151.424593414884,0.9989511212622886,8.764275998077647,6.01660725949287,11.76556017571943,1224.545042801043,1.001460894522444,10.7746875,11.088613645452408,0,97.16893242482884,0.3655278128599509,10.276052083333333,0.6863389468470082,161.9485657810659
NC_NHC,15min,2017-01-22,0.7106537088188962,0.33885360463765124,1.0852742686466728,903.096416485935,1.012197280689172,-2.082696833603378,-2.848310512072384,-1.2899635108523049,784.2149959929592,1.012350088379548,12.3646362006882,9.131134028632278,15.703653880240626,688.2808016276783,1.0119840298726677,10.476770833333333,10.769827825780512,0,97.27890735870757,0.4155325629994279,11.146729166666667,1.0556966485485473,163.14254688948938
NC_NHC,15min,2017-01-23,-0.01937127977092085,-0.37424329198317513,0.3217582769323434,1439.4756758244534,1.000281509075153,-1.932377227660709,-2.841589203458833,-0.9700844500014694,353.0023141956788,1.0091358646697577,16.565784554189882,11.69800760490896,21.595746887516302,239.58222426095475,1.0168009145320596,10.373333333333333,10.63778462737886,0,97.51403790066496,0.5972894585185545,11.409114583333333,3.94134885906834,164.3708764988754
NC_NHC,15min,2017-01-24,0.30478311258139584,-0.0441276591759096,0.6713655458980998,679.1853084891762,1.0128883062014669,-1.690953889151844,-2.42943862883246,-0.95556674650797,453.7378556747354,1.012339086769996,14.60395230804576,11.088767281298654,18.36569234748783,288.5881194122922,1.0110140724318044,10.7378125,11.003833962010258,0,97.58246568488154,0.4804467312809023,10.475677083333334,1.7503608070087522,165.63304032496814
NC_NHC,15min,2017-01-25,0.5745737140235511,0.1954347531242959,0.9504200618066604,865.4413956793545,1.0025761836294138,-1.6003270913021694,-2.3322301516361827,-0.8911014699418947,711.3315866770685,1.0037211994246442,12.574951497475034,9.373047888468502,15.951127959878775,691.4767098727583,1.0030307494983808,11.0196875,11.252088868108151,0,97.93459356007357,0.42022693157610175,9.622083333333332,1.0975218483330509,166.92850702060463
NC_NHC,15min,2017-01-26,0.6357351955404266,0.2326599519915448,1.0222836992367657,803.3849736290396,1.0082705235917206,-1.5388374725812342,-2.291172412716695,-0.7740683634193105,682.284830012069,1.0088366410956624,11.122676110291431,8.04123512587581,14.47191887890456,753.9138480926274,1.005962109016723,10.779375,11.030423861870043,0,97.72403250306756,0.400641743869419,10.468770833333334,0.9328119377305681,168.25672822271008
NC_NHC,15min,2017-01-27,0.6428675281336671,0.274204440147312,1.0159438921615864,1039.9016365046102,1.0015392266602363,-1.083641979468652,-1.748193580442257,-0.40591640235609433,1013.9644026773132,1.0022744652102495,9.686976462559157,6.866974326686804,12.49399651868643,1239.9838136312187,1.0035967254451807,11.4428125,11.686595908159319,0,97.91399129331481,0.3839270223734791,8.267885416666667,0.8067046924746761,169.61713862145476
NC_NHC,15min,2017-01-28,0.6423673233204493,0.23957201122129088,1.012151136199784,965.8011575659166,1.0026683426134952,-0.9009714980146698,-1.553462242906465,-0.2303136035446222,890.8277272375173,1.003923794544253,9.404922519908071,6.462812150452612,12.185740797072045,1125.4071030225728,1.0035871345729903,12.03375,12.19520452777938,0,98.6760818368269,0.37565547665984367,6.507614583333333,0.7489449296251438,171.0120042502209
NC_NHC,15min,2017-01-29,0.6467773301487602,0.27746388236479913,1.0183347136889327,699.5799148263521,1.0026557740689628,-0.7611611027533743,-1.3932539314214685,-0.15440822712148142,788.9062172497895,1.0001959315057238,8.887511256039069,5.857440754997745,11.627510921306415,1403.1380766609566,0.9998820900632368,12.302395833333334,12.35553612467513,0,99.56990703757751,0.3700116334980943,5.887614583333334,0.7112763763048299,172.47213965314592
NC_NHC,15min,2017-01-30,0.6409734978330233,0.27556536572956064,1.032768568732139,897.2496637299486,1.001195143406561,-0.6761093157750266,-1.3290923286924152,-0.07921085277512813,973.7568185327136,1.001393598011659,8.672369172279053,5.80720080081084,11.475934654207862,1146.161369332456,1.0005329601655626,12.473645833333334,12.59366266525418,0,99.04700614022343,0.3634522244553384,5.404760416666667,0.6693930530947314,173.96291719924264
NC_NHC,15min,2017-01-31,0.6836072159730258,0.30884413361101687,1.0757672978498052,1077.8227248143642,1.00112975539975,-0.6895621153136666,-1.275877569398307,-0.0783487136171797,1206.3779801082687,1.0006074609678557,8.283123683137536,5.556240110472245,10.908625720093989,1056.518177305287,0.9990904029019988,12.655,12.581229694249162,0,100.58635210979861,0.35861765266476214,5.369041666666667,0.6394770576442994,175.48368939599627
NC_NHC,15min,2017-02-01,0.8837509694168206,0.5218557772064938,1.2561948429696974,1243.5967716873813,1.001328214116009,-0.9239975922675774,-1.5199127462224564,-0.33499169524637545,1358.9188020354725,1.0014999309181825,7.994492361252036,5.463038240303753,10.625371409653283,986.8431071418254,1.003360403713314,12.19375,12.143648163277604,0,100.41257648483185,0.3576646112779297,6.885385416666667,0.6337174904998712,177.03379256699134
NC_NHC,15min,2017-02-02,0.9879327170576384,0.5589322829852694,1.3584026316336528,820.6714349902279,1.0026901455089805,-1.0640364999027154,-1.717564804176494,-0.4032616217334709,774.9716033888568,1.0012423733444686,7.840854546592737,5.312299136075499,10.354339730620389,1076.2572032554192,1.0007411791872545,11.859895833333333,11.84172126979904,0,100.1534790687959,0.35357266595295006,8.07625,0.609425284246605,178.61254706657408
NC_NHC,15min,2017-02-03,0.66219225619089,0.3052146220391161,1.0230519676746004,1321.4492808042687,1.000213581318048,-0.9093114687226028,-1.5477914498818215,-0.22714727753469025,1336.2638112300433,0.9989838674522648,7.231056976512698,4.325221199677969,9.808769509652452,1147.974326600826,0.9987340560567104,11.817395833333334,12.074412420135562,0,97.87139466618167,0.3497640843916249,7.435625,0.5874129076537883,180.2192575154018
NC_NHC,15min,2017-02-04,0.7597800401886587,0.39190518922780126,1.1172821166184832,735.4218220315385,1.0018103169268266,-0.6425702210527654,-1.2859342985855244,-0.05556071508869954,898.9600128690338,1.0018777664658318,8.020021709556579,5.455135785738186,10.564906874220569,939.7946086318102,1.003266362063284,12.76375,12.850778659121566,0,99.32277520740121,0.3503150766274882,5.15625,0.5914550860781003,181.8532130664368
NC_NHC,15min,2017-02-05,0.803051553074186,0.4365101485493924,1.1789595202802583,1034.0588919364711,1.0005261378343313,-0.7950903502874719,-1.4006200390980257,-0.22710334665453055,1105.1388212794736,1.0002226297961705,7.442559822972726,4.894553052870014,10.067851033932538,1924.1766854632297,1.000806232067455,12.786041666666666,12.705109956647343,0,100.63700125615189,0.3440913427930084,5.222083333333333,0.5555707844762426,183.51368769781752
NC_NHC,15min,2017-02-06,0.8628911129859251,0.5061326893446777,1.226556403615772,1009.6679944517488,1.0018683719185424,-0.9307296899453325,-1.536437601391112,-0.33514964931216634,1172.071141524921,1.0027357749017738,7.416692613147648,5.1192832542719815,9.82534242297898,1429.401798490434,1.0012532856217335,12.402291666666667,12.341444139302462,0,100.49303409453057,0.3430482865869048,6.3879166666666665,0.5498589606941774,185.19994053126902
NC_NHC,15min,2017-02-07,1.0994485926930158,0.7305781534249521,1.460387574362363,1043.6134422918278,0.9993488580364996,-1.18893389061239,-1.7977302824364665,-0.609725642037604,963.700309892652,1.001428650469978,6.570334518232093,4.391827947022331,8.746432224470052,1453.0762531801,1.0015842873980012,11.670052083333333,11.506595659304336,0,101.42054547555797,0.34410345177333407,8.886989583333333,0.5556788053756507,186.91121618061692
