site,year,n_days,f_days,resolution,K600_daily_sigma_Rhat,err_obs_iid_sigma_Rhat,err_proc_iid_sigma_Rhat,K_median,K_range,neg_GPP,pos_ER,ER_K_r2
NC_NHC,2016,365,100,15min,1.0387515306228423,2.532799649295343,1.0259708696645966,7.611924976374274,16.847812718098815,0.821917808219178,0.273972602739726,0.006007955459949699
NC_NHC,2017,365,100,15min,1.010316445161438,1.9872909479558112,1.0135292030309608,6.931760127691138,28.605206250993554,1.9178082191780823,0.547945205479452,0.04242636636796082
NC_NHC,2018,365,100,15min,1.0096290523494165,2.1071538351426966,1.0047743054293068,11.416296804500938,48.423155114527226,0.273972602739726,0,0.6234082504809499
NC_NHC,2020,365,100,15min,1.037128946874339,2.517702105256731,1.0083700356122862,11.69873376438572,40.66805404783671,0.821917808219178,3.287671232876712,0.11464258892521118
NC_NHC,2021,365,100,15min,1.0442907630708742,5.106119181775216,1.0151369941886712,8.479121865084817,29.408800792323373,5.205479452054795,1.095890410958904,0.004183432954629418
